country_code;region_name;sub_region_name;intermediate_region;country_name;income_group;year;totl_gdp;total_gdp_millions;rate_growth_gdp
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;1960;0.0;0.0;0
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;1961;0.0;0.0;0
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;1962;0.0;0.0;0
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;1963;0.0;0.0;0
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;1964;0.0;0.0;0
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;1965;0.0;0.0;0
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;1966;0.0;0.0;0
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;1967;0.0;0.0;0
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;1968;0.0;0.0;0
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;1969;0.0;0.0;0
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;1970;0.0;0.0;0
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;1971;0.0;0.0;0
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;1972;0.0;0.0;0
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;1973;0.0;0.0;0
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;1974;0.0;0.0;0
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;1975;0.0;0.0;0
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;1976;0.0;0.0;0
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;1977;0.0;0.0;0
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;1978;0.0;0.0;0
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;1979;0.0;0.0;0
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;1980;0.0;0.0;0
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;1981;0.0;0.0;0
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;1982;0.0;0.0;0
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;1983;0.0;0.0;0
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;1984;0.0;0.0;0
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;1985;0.0;0.0;0
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;1986;405586592.178771;405.6;inf
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;1987;487709497.206704;487.7;20.2
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;1988;596648044.692737;596.6;22.3
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;1989;695530726.256983;695.5;16.6
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;1990;764804469.273743;764.8;10.0
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;1991;872067039.106145;872.1;14.0
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;1992;958659217.877095;958.7;9.9
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;1993;1083240223.46369;1083.2;13.0
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;1994;1245810055.86592;1245.8;15.0
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;1995;1320670391.06145;1320.7;6.0
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;1996;1379888268.15642;1379.9;4.5
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;1997;1531843575.41899;1531.8;11.0
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;1998;1665363128.49162;1665.4;8.7
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;1999;1722905027.93296;1722.9;3.5
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;2000;1873184357.5419;1873.2;8.7
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;2001;1896648044.69274;1896.6;1.3
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;2002;1962011173.18436;1962.0;3.4
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;2003;2044134078.21229;2044.1;4.2
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;2004;2254748603.35196;2254.7;10.3
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;2005;2359776536.31285;2359.8;4.7
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;2006;2469832402.23464;2469.8;4.7
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;2007;2677653631.28492;2677.7;8.4
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;2008;2843016759.77654;2843.0;6.2
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;2009;2553631284.9162;2553.6;-10.2
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;2010;2453631284.9162;2453.6;-3.9
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;2011;2637988826.81564;2638.0;7.5
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;2012;2615083798.88268;2615.1;-0.9
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;2013;2727932960.89385;2727.9;4.3
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;2014;2791061452.51397;2791.1;2.3
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;2015;2963128491.62011;2963.1;6.2
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;2016;2983798882.68156;2983.8;0.7
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;2017;3092178770.94972;3092.2;3.6
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;2018;3202234636.87151;3202.2;3.6
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;2019;3368970253.05286;3369.0;5.2
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;2020;2610038937.56355;2610.0;-22.5
ABW;Americas;Latin America and the Caribbean;Caribbean;Aruba;Ingreso alto;2021;3126019399.06492;3126.0;19.8
AFG;Asia;Southern Asia;no data;Afghanistan;Países de ingreso bajo;1960;537777811.111111;537.8;0
AFG;Asia;Southern Asia;no data;Afghanistan;Países de ingreso bajo;1961;548888895.555556;548.9;2.1
AFG;Asia;Southern Asia;no data;Afghanistan;Países de ingreso bajo;1962;546666677.777778;546.7;-0.4
AFG;Asia;Southern Asia;no data;Afghanistan;Países de ingreso bajo;1963;751111191.111111;751.1;37.4
AFG;Asia;Southern Asia;no data;Afghanistan;Países de ingreso bajo;1964;800000044.444444;800.0;6.5
AFG;Asia;Southern Asia;no data;Afghanistan;Países de ingreso bajo;1965;1006666637.77778;1006.7;25.8
AFG;Asia;Southern Asia;no data;Afghanistan;Países de ingreso bajo;1966;1399999966.66667;1400.0;39.1
AFG;Asia;Southern Asia;no data;Afghanistan;Países de ingreso bajo;1967;1673333417.77778;1673.3;19.5
AFG;Asia;Southern Asia;no data;Afghanistan;Países de ingreso bajo;1968;1373333366.66667;1373.3;-17.9
AFG;Asia;Southern Asia;no data;Afghanistan;Países de ingreso bajo;1969;1408888922.22222;1408.9;2.6
AFG;Asia;Southern Asia;no data;Afghanistan;Países de ingreso bajo;1970;1748886595.55556;1748.9;24.1
AFG;Asia;Southern Asia;no data;Afghanistan;Países de ingreso bajo;1971;1831108971.11111;1831.1;4.7
AFG;Asia;Southern Asia;no data;Afghanistan;Países de ingreso bajo;1972;1595555475.55556;1595.6;-12.9
AFG;Asia;Southern Asia;no data;Afghanistan;Países de ingreso bajo;1973;1733333264.44444;1733.3;8.6
AFG;Asia;Southern Asia;no data;Afghanistan;Países de ingreso bajo;1974;2155555497.77778;2155.6;24.4
AFG;Asia;Southern Asia;no data;Afghanistan;Países de ingreso bajo;1975;2366666615.55556;2366.7;9.8
AFG;Asia;Southern Asia;no data;Afghanistan;Países de ingreso bajo;1976;2555555566.66667;2555.6;8.0
AFG;Asia;Southern Asia;no data;Afghanistan;Países de ingreso bajo;1977;2953333417.77778;2953.3;15.6
AFG;Asia;Southern Asia;no data;Afghanistan;Países de ingreso bajo;1978;3300000108.88889;3300.0;11.7
AFG;Asia;Southern Asia;no data;Afghanistan;Países de ingreso bajo;1979;3697940409.61098;3697.9;12.1
AFG;Asia;Southern Asia;no data;Afghanistan;Países de ingreso bajo;1980;3641723321.99546;3641.7;-1.5
AFG;Asia;Southern Asia;no data;Afghanistan;Países de ingreso bajo;1981;3478787909.09091;3478.8;-4.5
AFG;Asia;Southern Asia;no data;Afghanistan;Países de ingreso bajo;1982;0.0;0.0;-100.0
AFG;Asia;Southern Asia;no data;Afghanistan;Países de ingreso bajo;1983;0.0;0.0;0
AFG;Asia;Southern Asia;no data;Afghanistan;Países de ingreso bajo;1984;0.0;0.0;0
AFG;Asia;Southern Asia;no data;Afghanistan;Países de ingreso bajo;1985;0.0;0.0;0
AFG;Asia;Southern Asia;no data;Afghanistan;Países de ingreso bajo;1986;0.0;0.0;0
AFG;Asia;Southern Asia;no data;Afghanistan;Países de ingreso bajo;1987;0.0;0.0;0
AFG;Asia;Southern Asia;no data;Afghanistan;Países de ingreso bajo;1988;0.0;0.0;0
AFG;Asia;Southern Asia;no data;Afghanistan;Países de ingreso bajo;1989;0.0;0.0;0
